Nombre,Marca,Departamento,Precio,Stock
Laptop,Marca A,Electrónica,1200,14
Laptop,Marca A,Oficina,1200,13
Laptop,Marca A,Hogar,1200,15
Laptop,Marca B,Electrónica,1500,12
Laptop,Marca B,Oficina,1500,11
Laptop,Marca B,Hogar,1500,12
Laptop,Marca C,Electrónica,1600,20
Laptop,Marca C,Oficina,1600,12
Laptop,Marca C,Hogar,1600,21
Laptop,Marca D,Electrónica,1700,14
Laptop,Marca D,Oficina,1700,18
Laptop,Marca D,Hogar,1700,16
Monitor,Marca A,Electrónica,300,9
Monitor,Marca A,Oficina,300,9
Monitor,Marca A,Hogar,300,20
Monitor,Marca B,Electrónica,350,15
Monitor,Marca B,Oficina,350,15
Monitor,Marca B,Hogar,350,13
Monitor,Marca C,Electrónica,400,22
Monitor,Marca C,Oficina,400,11
Monitor,Marca C,Hogar,400,20
Monitor,Marca D,Electrónica,450,21
Monitor,Marca D,Oficina,450,21
Monitor,Marca D,Hogar,450,21
Silla,Marca A,Electrónica,150,18
Silla,Marca A,Oficina,150,12
Silla,Marca A,Hogar,150,21
Silla,Marca B,Electrónica,180,11
Silla,Marca B,Oficina,180,23
Silla,Marca B,Hogar,180,24
Silla,Marca C,Electrónica,200,18
Silla,Marca C,Oficina,200,16
Silla,Marca C,Hogar,200,19
Silla,Marca D,Electrónica,220,25
Silla,Marca D,Oficina,220,23
Silla,Marca D,Hogar,220,20
Escritorio,Marca A,Electrónica,200,9
Escritorio,Marca A,Oficina,200,16
Escritorio,Marca A,Hogar,200,25
Escritorio,Marca B,Electrónica,250,17
Escritorio,Marca B,Oficina,250,23
Escritorio,Marca B,Hogar,250,16
Escritorio,Marca C,Electrónica,300,16
Escritorio,Marca C,Oficina,300,13
Escritorio,Marca C,Hogar,300,25
Escritorio,Marca D,Electrónica,350,13
Escritorio,Marca D,Oficina,350,16
Escritorio,Marca D,Hogar,350,19
